name,type,ownership,authority,status,longitude,latitude,F15Regions,DName2016,CName2016,SName2016,scode,costituenc,d,c,s,p,pc2016,mpopn,fpopn,SexRatio,tpopn,hf_id
Buwagajjo HC III,HC III,Government,MOH,Functional,33.14688,0.389,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,117302,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,NYENGA,11730204,3752,4070.0,92.2,7822.0,HF0026
Ssi HC III,HC III,Government,MOH,Functional,32.97205,0.17105,CENTRAL II,BUIKWE,BUIKWE,SSI-BUKUNJA,117106,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,SSI BUKUNJA,LUGALA,11710604,1992,1967.0,101.3,3959.0,HF0027
Kalagala HC II GOVT,HC II,Government,MOH,Functional,33.02784,0.51565,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,117303,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,KALAGALA,11730301,2846,2826.0,100.7,5672.0,HF0028
KKonko HC II,HC II,Government,MOH,Functional,33.12157,0.42972,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,117303,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,KKONKO,11730302,2955,2637.0,112.1,5592.0,HF0029
Naminya HC II,HC II,Government,MOH,Functional,33.14084,0.45911,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,117303,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,NAMINYA,11730305,3579,3665.0,97.7,7244.0,HF0030
Wakisi HC III,HC III,Government,MOH,Functional,33.11402,0.51026,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,117303,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,WAKISI,11730306,3083,3369.0,91.5,6452.0,HF0031
Kingangazzi HC II,HC II,Government,MOH,Functional,31.6726,-0.03104,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BIGASA,118101,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BIGASA,KIGANGAZZI,11810103,5638,5758.0,97.9,11396.0,HF0032
Bigasa HC III,HC III,Government,MOH,Functional,31.62646,-0.08727,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BIGASA,118101,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BIGASA,MBIRIIZI,11810104,4389,4542.0,96.6,8931.0,HF0033
St. Mary'S Maternity Home HC III,HC III,Private Not For Profit,Local Government,Functional,31.61822,-0.16399,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI  TOWN COUNCIL,118102,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI TOWN COUNCIL,CENTRAL,11810201,1682,1872.0,89.9,3554.0,HF0034
Bukomansimbi Medical Center HC III,HC III,NGO,Local Government,,31.61816,-0.16628,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI  TOWN COUNCIL,118102,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI TOWN COUNCIL,CENTRAL,11810201,1682,1872.0,89.9,3554.0,HF0035
St. Mechtilda Kitaasa HC III,HC III,Private Not For Profit,UCMB,Functional,31.604,-0.15118,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI  TOWN COUNCIL,118102,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI TOWN COUNCIL,KISAGAZI,11810204,836,930.0,89.9,1766.0,HF0036
Kabigi Muslim HC II,HC II,Private Not For Profit,UMMB,Functional,31.667785,-0.161794,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,118103,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,KABIGI,11810302,4553,4614.0,98.7,9167.0,HF0037
Luyitayita HC II,HC II,Private Not For Profit,,Functional,31.660045,-0.149096,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,118103,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,KABIGI,11810302,4553,4614.0,98.7,9167.0,HF0038
Butenga HC IV,HC IV,Government,MOH,Functional,31.67238,-0.19553,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,118103,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,BUTENGA TOWN BOARD,11810301,1420,1679.0,84.6,3099.0,HF0039
Kagoggo HC II,HC II,Government,MOH,Functional,31.61465,-0.21687,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,118104,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,MALEKU,11810404,4414,4636.0,95.2,9050.0,HF0040
Kisojjo HC II GOVT,HC II,Government,MOH,Functional,31.68064,-0.28818,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,118104,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,KISOJJO,11810403,2867,3016.0,95.1,5883.0,HF0041
Mirambi HC III,HC III,Government,MOH,Functional,31.63389,-0.29187,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,118104,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,MIRAMBI,11810405,2775,2744.0,101.1,5519.0,HF0042
Buyoga HC III,HC III,Private Not For Profit,UCMB,Functional,31.63779,-0.26398,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,118104,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,KIRYASAAKA,11810402,3018,3130.0,96.4,6148.0,HF0043
Kitanda HC III,HC III,Government,MOH,Functional,31.56832,-0.09735,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KITANDA,118105,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KITANDA,MITIGYEERA,11810504,2971,2940.0,101.1,5911.0,HF0044
Makuukulu HC III,HC III,Private Not For Profit,UCMB,Functional,31.58625,-0.0437,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KITANDA,118105,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KITANDA,MAKUKUULU,11810503,4417,4365.0,101.2,8782.0,HF0045
Kibugga HC II,HC II,Government,MOH,Functional,32.16436,0.164,CENTRAL I,BUTAMBALA,BUTAMBALA,BUDDE,119101,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BUDDE,KIBUGGA,11910103,2008,1885.0,106.5,3893.0,HF0046
Kyabadaza HC III,HC III,Government,MOH,Functional,32.1819,0.12091,CENTRAL I,BUTAMBALA,BUTAMBALA,BUDDE,119101,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BUDDE,BUDDE,11910101,2287,2321.0,98.5,4608.0,HF0047
Bulo clinic HC II,HC II,Private Not For Profit,Local Government,Functional,31.99926,0.11369,CENTRAL I,BUTAMBALA,BUTAMBALA,BULO,119102,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BULO,BULO,11910202,2466,2719.0,90.7,5185.0,HF0048
Sanyu Domicilliary HC II,HC II,Private Not For Profit,Local Government,Functional,32.0002,0.11617,CENTRAL I,BUTAMBALA,BUTAMBALA,BULO,119102,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BULO,BUTAWUKA,11910203,2781,2942.0,94.5,5723.0,HF0049
Bulo HC III,HC III,Government,MOH,Functional,31.99884,0.11322,CENTRAL I,BUTAMBALA,BUTAMBALA,BULO,119102,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BULO,BULO,11910202,2466,2719.0,90.7,5185.0,HF0050
MARIA ASSUMPTA HC III,HC III,Private Not For Profit,UCMB,,31.99417,0.12088,CENTRAL I,BUTAMBALA,BUTAMBALA,BULO,119102,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BULO,BUTAWUKA,11910203,2781,2942.0,94.5,5723.0,HF0051
Gombe HOSPITAL,General Hospital,Government,MOH,Functional,32.114144,0.184416,CENTRAL I,BUTAMBALA,BUTAMBALA,GOMBE TOWN COUNCIL,119103,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,GOMBE TOWN COUNCIL,GOMBE,11910301,3612,3958.0,91.3,7570.0,HF0052
Ntolomwe HC II,HC II,Government,MOH,Functional,32.11476,0.14794,CENTRAL I,BUTAMBALA,BUTAMBALA,GOMBE TOWN COUNCIL,119103,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,GOMBE TOWN COUNCIL,NTOLOMWE WARD,11910303,1610,1561.0,103.1,3171.0,HF0053
Kabasanda HC II,HC II,Government,MOH,Functional,32.23001,0.26205,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KABASANDA,11910401,1899,1927.0,98.5,3826.0,HF0054
Kilokola HC II,HC II,Government,MOH,Functional,32.19175,0.23307,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KIROKOLA,11910402,2513,2290.0,109.7,4803.0,HF0055
Nsozibirye HC II,HC II,Government,MOH,Functional,32.20787,0.26302,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KABASANDA,11910401,1899,1927.0,98.5,3826.0,HF0056
Kalamba Community HC II,HC II,Private Not For Profit,,Functional,32.20787,0.22637,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KIROKOLA,11910402,2513,2290.0,109.7,4803.0,HF0057
Savio Medical Centre HC II,HC II,Private Not For Profit,,Functional,32.22602,0.23361,CENTRAL I,MPIGI,MAWOKOTA,KAMMENGO,106102,MAWOKOTA COUNTY NORTH,MPIGI,MAWOKOTA,KAMMENGO,LWAGWA-KIBANGA,10610206,1260,1195.0,105.4,2455.0,HF0058
Butambala Epi Centre HC III GOVT,HC III,Government,MOH,Functional,32.19945,0.22383,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KIROKOLA,11910402,2513,2290.0,109.7,4803.0,HF0059
Kitimba HC III,HC III,Government,MOH,Functional,32.2676,0.29633,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KITIMBA,11910403,2092,1876.0,111.5,3968.0,HF0060
Kawonawo HC II,HC II,Private Not For Profit,Local Government,Functional,32.19505,0.23577,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KIROKOLA,11910402,2513,2290.0,109.7,4803.0,HF0061
Butaaka HC II,HC II,Government,MOH,Functional,32.16607,0.24899,CENTRAL I,BUTAMBALA,BUTAMBALA,KIBIBI,119105,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KIBIBI,MITWETWE,11910504,1219,1323.0,92.1,2542.0,HF0062
Kiziiko HC II,HC II,Government,MOH,Functional,32.17326,0.20111,CENTRAL I,BUTAMBALA,BUTAMBALA,KIBIBI,119105,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KIBIBI,MABANDA,11910503,922,900.0,102.4,1822.0,HF0063
Kibibi Nursing Home HC III,HC III,Private Not For Profit,UMMB,Functional,32.20856,0.22903,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,NSOZIBBIRI,11910404,1492,1486.0,100.4,2978.0,HF0064
Butende HC II GOVT,HC II,Government,MOH,Functional,31.88558,0.03718,CENTRAL I,BUTAMBALA,BUTAMBALA,NGANDO,119106,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,NGANDO,BUTENDE,11910602,1861,1870.0,99.5,3731.0,HF0065
Kidawalime Nursing Home HC II,HC II,Private Not For Profit,UMMB,Functional,31.90451,0.0707,CENTRAL I,BUTAMBALA,BUTAMBALA,NGANDO,119106,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,NGANDO,BUKESA,11910601,2463,2393.0,102.9,4856.0,HF0066
Bugobango HC II,HC II,Private Not For Profit,,Functional,31.90593,0.1001,CENTRAL I,BUTAMBALA,BUTAMBALA,NGANDO,119106,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,NGANDO,BUKESA,11910601,2463,2393.0,102.9,4856.0,HF0067
Ngando HC III,HC III,Government,MOH,Functional,31.92544,0.07586,CENTRAL I,BUTAMBALA,BUTAMBALA,NGANDO,119106,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,NGANDO,KASOZI,11910603,2722,2771.0,98.2,5493.0,HF0068
Bulwadda HC II,HC II,Government,MOH,Functional,31.78731,0.18906,CENTRAL I,GOMBA,GOMBA,KABULASOKE,121101,GOMBA WEST COUNTY,GOMBA,GOMBA,KABULASOKE,BULWADDA,12110102,3614,3332.0,108.5,6946.0,HF0069
Mawuki HC II,HC II,Government,MOH,Functional,31.86857,0.12175,CENTRAL I,GOMBA,GOMBA,KABULASOKE,121101,GOMBA WEST COUNTY,GOMBA,GOMBA,KABULASOKE,MAWUUKI,12110109,1922,1796.0,107.0,3718.0,HF0070
Kifampa HC III,HC III,Government,MOH,Functional,31.76011,0.12171,CENTRAL I,GOMBA,GOMBA,KABULASOKE,121101,GOMBA WEST COUNTY,GOMBA,GOMBA,KABULASOKE,KAKUBANSIR,12110104,3835,3628.0,105.7,7463.0,HF0071
Kisozi HC III GOVT,HC III,Government,MOH,Functional,31.6097,0.08627,CENTRAL I,GOMBA,GOMBA,KABULASOKE,121101,GOMBA WEST COUNTY,GOMBA,GOMBA,KABULASOKE,KISOZI,12110106,3441,3044.0,113.0,6485.0,HF0072
Bukalagi  HC III,HC III,Private Not For Profit,UCMB,Functional,31.85634,0.17793,CENTRAL I,GOMBA,GOMBA,KYEGONZA,121103,GOMBA EAST COUNTY,GOMBA,GOMBA,KYEGONZA,SAALI,12110309,1166,1081.0,107.9,2247.0,HF0073
Gomba Kanoni HC III GOVT,HC III,Government,MOH,Functional,31.9052,0.17013,CENTRAL I,GOMBA,GOMBA,KANONI TOWN COUNCIL,121102,GOMBA EAST COUNTY,GOMBA,GOMBA,KANONI TOWN COUNCIL,KANONI,12110201,3111,3173.0,98.0,6284.0,HF0074
Kawerimidde HC II,HC II,Government,MOH,Functional,31.97637,0.1407,CENTRAL I,GOMBA,GOMBA,KYEGONZA,121103,GOMBA EAST COUNTY,GOMBA,GOMBA,KYEGONZA,BUKUNDUGUL,12110301,949,904.0,105.0,1853.0,HF0075
Mamba HC II,HC II,Government,MOH,Functional,31.82428,0.25287,CENTRAL I,GOMBA,GOMBA,KYEGONZA,121103,GOMBA EAST COUNTY,GOMBA,GOMBA,KYEGONZA,MAMBA,12110304,2986,2898.0,103.0,5884.0,HF0076
Namabeya HC II,HC II,Government,MOH,Functional,31.88473,0.14409,CENTRAL I,GOMBA,GOMBA,KYEGONZA,121103,GOMBA EAST COUNTY,GOMBA,GOMBA,KYEGONZA,MAMBA,12110304,2986,2898.0,103.0,5884.0,HF0077
Rapha Medical HC III,HC III,Private Not For Profit,,Functional,31.955,0.311102,CENTRAL II,MITYANA,BUSUJJU,MAANYI,115104,BUSUJJU COUNTY,MITYANA,BUSUJJU,MAANYI,KIMULI,11510402,1381,1205.0,114.6,2586.0,HF0078
Buyanja  HC II (Gomba),HC II,Government,MOH,Functional,31.49537,0.18106,CENTRAL I,GOMBA,GOMBA,MADDU,121104,GOMBA WEST COUNTY,GOMBA,GOMBA,MADDU,DDEGEYA,12110401,3782,3383.0,111.8,7165.0,HF0079
Kitwe HC II,HC II,Government,MOH,Functional,31.66145,0.20965,CENTRAL I,GOMBA,GOMBA,MADDU,121104,GOMBA WEST COUNTY,GOMBA,GOMBA,MADDU,MADDU,12110405,4250,4336.0,98.0,8586.0,HF0080
Kasambya HC II,HC II,Government,MOH,,31.22852813,0.380773226,CENTRAL II,MUBENDE,KASAMBYA,KASAMBYA,107202,KASAMBYA COUNTY,MUBENDE,KASAMBYA,KASAMBYA,KASAMBYA TOWN BOARD,10720204,5600,6060.0,92.4,11660.0,HF0081
Kyai HC III,HC III,Government,MOH,Functional,31.395894,0.21922,CENTRAL I,GOMBA,GOMBA,MADDU,121104,GOMBA WEST COUNTY,GOMBA,GOMBA,MADDU,KYAYI,12110404,3449,3008.0,114.7,6457.0,HF0082
Maddu HC IV,HC IV,Government,MOH,Functional,31.66908,0.21294,CENTRAL I,GOMBA,GOMBA,MADDU,121104,GOMBA WEST COUNTY,GOMBA,GOMBA,MADDU,MADDU,12110405,4250,4336.0,98.0,8586.0,HF0083
Kanzira HC II,HC II,Government,MOH,Functional,32.091,0.23181,CENTRAL I,GOMBA,GOMBA,MPENJA,121105,GOMBA EAST COUNTY,GOMBA,GOMBA,MPENJA,KANZIIRA,12110503,1482,1445.0,102.6,2927.0,HF0084
Ngeribalya HC II,HC II,Government,MOH,Functional,32.01781,0.15023,CENTRAL I,GOMBA,GOMBA,MPENJA,121105,GOMBA EAST COUNTY,GOMBA,GOMBA,MPENJA,NGERIBALYA,12110507,1493,1348.0,110.8,2841.0,HF0085
Ngomanene HC II,HC II,Government,MOH,Functional,31.99935,0.19701,CENTRAL I,GOMBA,GOMBA,MPENJA,121105,GOMBA EAST COUNTY,GOMBA,GOMBA,MPENJA,NGOMANENE,12110508,2038,2048.0,99.5,4086.0,HF0086
Mpenja HC III,HC III,Government,MOH,Functional,32.05213,0.2239,CENTRAL I,GOMBA,GOMBA,MPENJA,121105,GOMBA EAST COUNTY,GOMBA,GOMBA,MPENJA,KAKOMO,12110502,947,880.0,107.6,1827.0,HF0087
Bubeke HC III,HC III,Government,MOH,Functional,32.57862,0.3204,GREATER KAMPALA,KAMPALA,,,102101,,KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKASERO II,10210116,977,818.0,119.4,1795.0,HF0088
Well Springs HC III,HC II,Private Not For Profit,,Functional,31.83074,-0.24434,CENTRAL I,KALUNGU,KALUNGU,BUKULULA,122101,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,BUKULULA,BUGONZI,12210101,3031,3302.0,91.8,6333.0,HF0089
Kiti HC III,HC III,Government,Local Government,Functional,31.88391,-0.07377,CENTRAL I,KALUNGU,KALUNGU,BUKULULA,122101,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,BUKULULA,KITI,12210103,4180,4413.0,94.7,8593.0,HF0090
