name,type,ownership,authority,status,longitude,latitude,F15Regions,DName2016,CName2016,SName2016,scode,costituenc,d,c,s,p,pc2016,mpopn,fpopn,SexRatio,tpopn,hf_id
Bulo HC III,HC III,Government,MOH,Functional,31.99884,0.11322,CENTRAL I,BUTAMBALA,BUTAMBALA,BULO,119102,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BULO,BULO,11910202,2466,2719.0,90.7,5185.0,HF0050
MARIA ASSUMPTA HC III,HC III,Private Not For Profit,UCMB,,31.99417,0.12088,CENTRAL I,BUTAMBALA,BUTAMBALA,BULO,119102,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BULO,BUTAWUKA,11910203,2781,2942.0,94.5,5723.0,HF0051
Gombe HOSPITAL,General Hospital,Government,MOH,Functional,32.114144,0.184416,CENTRAL I,BUTAMBALA,BUTAMBALA,GOMBE TOWN COUNCIL,119103,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,GOMBE TOWN COUNCIL,GOMBE,11910301,3612,3958.0,91.3,7570.0,HF0052
Butambala Epi Centre HC III GOVT,HC III,Government,MOH,Functional,32.19945,0.22383,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KIROKOLA,11910402,2513,2290.0,109.7,4803.0,HF0059
Kitimba HC III,HC III,Government,MOH,Functional,32.2676,0.29633,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,KITIMBA,11910403,2092,1876.0,111.5,3968.0,HF0060
Kibibi Nursing Home HC III,HC III,Private Not For Profit,UMMB,Functional,32.20856,0.22903,CENTRAL I,BUTAMBALA,BUTAMBALA,KALAMBA,119104,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,KALAMBA,NSOZIBBIRI,11910404,1492,1486.0,100.4,2978.0,HF0064
Ngando HC III,HC III,Government,MOH,Functional,31.92544,0.07586,CENTRAL I,BUTAMBALA,BUTAMBALA,NGANDO,119106,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,NGANDO,KASOZI,11910603,2722,2771.0,98.2,5493.0,HF0068
Kifampa HC III,HC III,Government,MOH,Functional,31.76011,0.12171,CENTRAL I,GOMBA,GOMBA,KABULASOKE,121101,GOMBA WEST COUNTY,GOMBA,GOMBA,KABULASOKE,KAKUBANSIR,12110104,3835,3628.0,105.7,7463.0,HF0071
Kisozi HC III GOVT,HC III,Government,MOH,Functional,31.6097,0.08627,CENTRAL I,GOMBA,GOMBA,KABULASOKE,121101,GOMBA WEST COUNTY,GOMBA,GOMBA,KABULASOKE,KISOZI,12110106,3441,3044.0,113.0,6485.0,HF0072
Bukalagi  HC III,HC III,Private Not For Profit,UCMB,Functional,31.85634,0.17793,CENTRAL I,GOMBA,GOMBA,KYEGONZA,121103,GOMBA EAST COUNTY,GOMBA,GOMBA,KYEGONZA,SAALI,12110309,1166,1081.0,107.9,2247.0,HF0073
Gomba Kanoni HC III GOVT,HC III,Government,MOH,Functional,31.9052,0.17013,CENTRAL I,GOMBA,GOMBA,KANONI TOWN COUNCIL,121102,GOMBA EAST COUNTY,GOMBA,GOMBA,KANONI TOWN COUNCIL,KANONI,12110201,3111,3173.0,98.0,6284.0,HF0074
Rapha Medical HC III,HC III,Private Not For Profit,,Functional,31.955,0.311102,CENTRAL II,MITYANA,BUSUJJU,MAANYI,115104,BUSUJJU COUNTY,MITYANA,BUSUJJU,MAANYI,KIMULI,11510402,1381,1205.0,114.6,2586.0,HF0078
Kyai HC III,HC III,Government,MOH,Functional,31.395894,0.21922,CENTRAL I,GOMBA,GOMBA,MADDU,121104,GOMBA WEST COUNTY,GOMBA,GOMBA,MADDU,KYAYI,12110404,3449,3008.0,114.7,6457.0,HF0082
Maddu HC IV,HC IV,Government,MOH,Functional,31.66908,0.21294,CENTRAL I,GOMBA,GOMBA,MADDU,121104,GOMBA WEST COUNTY,GOMBA,GOMBA,MADDU,MADDU,12110405,4250,4336.0,98.0,8586.0,HF0083
Mpenja HC III,HC III,Government,MOH,Functional,32.05213,0.2239,CENTRAL I,GOMBA,GOMBA,MPENJA,121105,GOMBA EAST COUNTY,GOMBA,GOMBA,MPENJA,KAKOMO,12110502,947,880.0,107.6,1827.0,HF0087
Bubeke HC III,HC III,Government,MOH,Functional,32.57862,0.3204,GREATER KAMPALA,KAMPALA,,,102101,,KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,NAKASERO II,10210116,977,818.0,119.4,1795.0,HF0088
Kiti HC III,HC III,Government,Local Government,Functional,31.88391,-0.07377,CENTRAL I,KALUNGU,KALUNGU,BUKULULA,122101,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,BUKULULA,KITI,12210103,4180,4413.0,94.7,8593.0,HF0090
Thereza Ledochowska HC II,HC III,Private Not For Profit,Local Government,,31.83215,-0.12927,CENTRAL I,KALUNGU,KALUNGU,BUKULULA,122101,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,BUKULULA,LUSASA,12210106,1707,1696.0,100.6,3403.0,HF0091
Bukulula HC IV,HC IV,Government,Local Government,Functional,31.844494,-0.178123,CENTRAL I,KALUNGU,KALUNGU,BUKULULA,122101,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,BUKULULA,MUKOKO,12210108,4318,4442.0,97.2,8760.0,HF0092
Villa Maria HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,31.743304,-0.228127,CENTRAL I,KALUNGU,KALUNGU,KALUNGU,122102,KALUNGU WEST COUNTY,KALUNGU,KALUNGU,KALUNGU,VILLA MARIA,12210209,2206,3110.0,70.9,5316.0,HF0093
Kabungo HC III,HC III,Private Not For Profit,,Functional,31.77189,-0.12408,CENTRAL I,KALUNGU,KALUNGU,KALUNGU,122102,KALUNGU WEST COUNTY,KALUNGU,KALUNGU,KALUNGU,BWASANDEKU,12210202,2809,2854.0,98.4,5663.0,HF0097
Kalungu HC III,HC III,Government,MOH,Functional,31.756588,-0.165436,CENTRAL I,KALUNGU,KALUNGU,KALUNGU TOWN COUNCIL,122103,KALUNGU WEST COUNTY,KALUNGU,KALUNGU,KALUNGU TOWN COUNCIL,KALUNGU,12210301,1342,1430.0,93.8,2772.0,HF0099
Kalungu Kabaale HC II GOVT,HC III,Government,MOH,Functional,31.81268,-0.09462,CENTRAL I,KALUNGU,KALUNGU,KYAMULIBWA,122104,KALUNGU WEST COUNTY,KALUNGU,KALUNGU,KYAMULIIBWA,KABAALE,12210403,2211,2314.0,95.5,4525.0,HF0101
Kyamulibwa Gvt HC III,HC III,Government,MOH,Functional,31.75884,-0.07189,CENTRAL I,KALUNGU,KALUNGU,KYAMULIBWA TOWN COUNCIL,122107,KALUNGU WEST COUNTY,KALUNGU,KALUNGU,KYAMULIBWA TOWN COUNCIL,EAST,12210701,1112,1189.0,93.5,2301.0,HF0102
St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,HC IV,Private Not For Profit,UCMB,Functional,31.757589,-0.082854,CENTRAL I,KALUNGU,KALUNGU,KYAMULIBWA TOWN COUNCIL,122107,KALUNGU WEST COUNTY,KALUNGU,KALUNGU,KYAMULIBWA TOWN COUNCIL,EAST,12210701,1112,1189.0,93.5,2301.0,HF0103
Lukaya HC III,HC III,Government,MOH,Functional,31.874866,-0.142449,CENTRAL I,KALUNGU,KALUNGU,LUKAYA TOWN COUNCIL,122105,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,LUKAYA TOWN COUNCIL,CENTRAL WARD,12210502,4038,4498.0,89.8,8536.0,HF0109
Kalungi HC II,HC III,Private Not For Profit,,Functional,31.847444,-0.129459,CENTRAL I,KALUNGU,KALUNGU,BUKULULA,122101,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,BUKULULA,LUSASA,12210106,1707,1696.0,100.6,3403.0,HF0110
Kalungu Kasambya HC III GOVT,HC III,Government,MOH,Functional,31.738911,-0.020903,CENTRAL I,KALUNGU,KALUNGU,LWABENGE,122106,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,LWABENGE,KIBISI,12210603,2875,2935.0,98.0,5810.0,HF0112
Kiragga HC III,HC III,Government,MOH,Functional,31.83324,-0.03353,CENTRAL I,KALUNGU,KALUNGU,LWABENGE,122106,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,LWABENGE,KIRAAGA,12210604,4981,5010.0,99.4,9991.0,HF0113
St. Monica Birongo Kalungu HC III,HC III,Private Not For Profit,UCMB,,31.80547,0.01273,CENTRAL I,KALUNGU,KALUNGU,LWABENGE,122106,KALUNGU EAST COUNTY,KALUNGU,KALUNGU,LWABENGE,KIRAAGA,12210604,4981,5010.0,99.4,9991.0,HF0114
Kololo HOSPITAL,General Hospital,Private For Profit,Local Government,Functional,32.588224,0.336823,GREATER KAMPALA,KAMPALA,,,102101,,KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KOLOLO II,10210111,580,552.0,105.1,1132.0,HF0118
Kisenyi HC III,HC III,Government,Local Government,Functional,32.56929,0.30746,GREATER KAMPALA,KAMPALA,,,102101,,KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,MENGO,10210114,5741,5947.0,96.5,11688.0,HF0124
Makerere University HC III,HC III,Government,MOH,Functional,32.57053,0.3279,GREATER KAMPALA,KAMPALA,,,102101,,KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KAGUGUBE,10210104,2983,3246.0,91.9,6229.0,HF0125
Adventist Medical Center,HC III,Private Not For Profit,,Functional,32.57029,0.32553,GREATER KAMPALA,KAMPALA,,,102101,,KAMPALA,KAMPALA CAPITAL CITY,CENTRAL,KAGUGUBE,10210104,2983,3246.0,91.9,6229.0,HF0126
International Hospital Kampala (IHK),General Hospital,Private For Profit,Local Government,Functional,32.61153,0.30528,GREATER KAMPALA,KAMPALA,,,102104,,KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KISUGU,10210411,9400,9835.0,95.6,19235.0,HF0202
Kibuli HOSPITAL,General Hospital,Private Not For Profit,Local Government,Functional,32.595073,0.313056,GREATER KAMPALA,KAMPALA,,,102104,,KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KIBULI,10210408,12857,13333.0,96.4,26190.0,HF0203
St. Francis Nsambya HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,32.585,0.3017,GREATER KAMPALA,KAMPALA,,,102104,,KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,LUKULI,10210412,14281,16487.0,86.6,30768.0,HF0204
Kisugu HC III,HC III,Government,Local Government,Functional,32.61161,0.30685,GREATER KAMPALA,KAMPALA,,,102104,,KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,KISUGU,10210411,9400,9835.0,95.6,19235.0,HF0214
Makindye Police HC III,HC III,Government,Local Government,Functional,32.61758,0.26183,GREATER KAMPALA,KAMPALA,,,102104,,KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,BUZIGA,10210402,7443,8534.0,87.2,15977.0,HF0215
Kiruddu,NR Hospital,Government,Local Government,Functional,32.61274,0.24828,GREATER KAMPALA,KAMPALA,,,102104,,KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,SALAAMA,10210419,15464,17666.0,87.5,33130.0,HF0216
Mulago National Hospital- Old NATIONAL REFERAL HOSPITAL,NR Hospital,Government,MOH,Functional,32.5761,0.3381,GREATER KAMPALA,KAMPALA,,,102102,,KAMPALA,KAMPALA CAPITAL CITY,KAWEMPE,MULAGO I,10210216,3436,3745.0,91.7,7181.0,HF0220
Kadic HOSPITAL,General Hospital,Private For Profit,Local Government,Functional,32.603411,0.352746,GREATER KAMPALA,KAMPALA,,,102105,,KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,BUKOTO I,10210503,10768,12277.0,87.7,23045.0,HF0252
Murchison Bay  HOSPITAL,General Hospital,Government,Prisons,Functional,32.633478,0.283601,GREATER KAMPALA,KAMPALA,,,102104,,KAMPALA,KAMPALA CAPITAL CITY,MAKINDYE,BUKASA,10210401,14387,15019.0,95.8,29406.0,HF0253
St. Stephen's Dispensary and Marternity HC III,HC III,Private Not For Profit,,Functional,32.649,0.30092,GREATER KAMPALA,KAMPALA,,,102105,,KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,LUZIRA,10210511,9213,10305.0,89.4,19518.0,HF0261
Benedict Medical centre  HC IV,HC IV,Private Not For Profit,UCMB,Functional,32.64301,0.30274,GREATER KAMPALA,KAMPALA,,,102105,,KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,LUZIRA PRISONS,10210512,9969,3834.0,260.0,13803.0,HF0262
Butabika NATIONAL REFERAL HOSPITAL,NR Hospital,Government,MOH,Functional,32.6561,0.315,GREATER KAMPALA,KAMPALA,,,102105,,KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,BUTABIKA,10210505,9398,10152.0,92.6,19550.0,HF0263
Naguru  Hospital  - China Uganda Friendship,RR Hospital,Government,MOH,Functional,32.60657,0.32898,GREATER KAMPALA,KAMPALA,,,102105,,KAMPALA,KAMPALA CAPITAL CITY,NAKAWA,NAGURU I,10210517,2330,2584.0,90.2,4914.0,HF0264
Lubaga HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,32.551622,0.30797,GREATER KAMPALA,KAMPALA,,,102103,,KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,LUNGUJJA,10210306,13569,15600.0,87.0,29169.0,HF0281
Mengo HOSPITAL,General Hospital,Private Not For Profit,,Functional,32.55999,0.31306,GREATER KAMPALA,KAMPALA,,,102103,,KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,NAMIREMBE,10210310,7139,8353.0,85.5,15492.0,HF0282
Namungoona Orthodox Hospital HC III,General Hospital,Private Not For Profit,,Functional,32.54522,0.33817,GREATER KAMPALA,KAMPALA,,,102103,,KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,LUBYA,10210305,30881,35371.0,87.3,66252.0,HF0283
Kawaala Health Centre HC III,HC III,Government,MOH,Functional,32.5539,0.3408,GREATER KAMPALA,KAMPALA,,,102103,,KAMPALA,KAMPALA CAPITAL CITY,RUBAGA,KASUBI,10210303,28066,31983.0,87.8,60049.0,HF0289
Bbaale HC IV,HC IV,Government,MOH,Functional,32.88569,1.1056,CENTRAL II,KAYUNGA,BBAALE,BBAALE,112101,BBALE COUNTY,KAYUNGA,BBAALE,BBAALE,BBAALE,11210101,2869,2925.0,98.1,5794.0,HF0290
Busaana HC III,HC III,Government,MOH,Functional,33.011288,0.794697,CENTRAL II,KAYUNGA,NTENJERU,BUSAANA,112201,NTENJERU COUNTY NORTH,KAYUNGA,NTENJERU,BUSANA,KASANA,11220101,4693,4906.0,95.7,9599.0,HF0292
Galiraya HC III,HC III,Government,MOH,Functional,32.81643,1.34951,CENTRAL II,KAYUNGA,BBAALE,GALIRAYA,112102,BBALE COUNTY,KAYUNGA,BBAALE,GALIRAAYA,GALIRAAYA,11210201,2380,2184.0,109.0,4564.0,HF0294
Kawongo HC III,HC III,Government,MOH,Functional,32.7586,1.40639,CENTRAL II,KAYUNGA,BBAALE,GALIRAYA,112102,BBALE COUNTY,KAYUNGA,BBAALE,GALIRAAYA,NTIMBA,11210206,2918,2758.0,105.8,5676.0,HF0295
Kangulumira HC IV,HC IV,Government,MOH,Functional,33.03127,0.58534,CENTRAL II,KAYUNGA,NTENJERU,KANGULUMIRA,112202,NTENJERU COUNTY SOUTH,KAYUNGA,NTENJERU,KANGULUMIRA,KANGULUMIRA,11220201,7881,8818.0,89.4,16699.0,HF0298
Lugasa HC III,HC III,Government,MOH,Functional,32.86212,0.87858,CENTRAL II,KAYUNGA,BBAALE,KAYONZA,112103,BBALE COUNTY,KAYUNGA,BBAALE,KAYONZA,KAMUSABI,11210303,4611,4411.0,104.5,9022.0,HF0301
Kayunga Hospital,General Hospital,Government,MOH,Functional,32.90342,0.70353,CENTRAL II,KAYUNGA,NTENJERU,KAYUNGA TOWN COUNCIL,112204,NTENJERU COUNTY NORTH,KAYUNGA,NTENJERU,KAYUNGA TOWN COUNCIL,KAYUNGA CENTRAL,11220402,4227,4912.0,86.1,9139.0,HF0304
Ntenjeru HC III,HC III,Government,MOH,Functional,32.89602,0.72448,CENTRAL II,KAYUNGA,NTENJERU,KAYUNGA TOWN COUNCIL,112204,NTENJERU COUNTY NORTH,KAYUNGA,NTENJERU,KAYUNGA TOWN COUNCIL,NTENJERU WARD,11220404,2558,2616.0,97.8,5174.0,HF0306
Nazigo HC III,HC III,Government,MOH,Functional,32.98835,0.65007,CENTRAL II,KAYUNGA,NTENJERU,NAZIGO,112205,NTENJERU COUNTY SOUTH,KAYUNGA,NTENJERU,NAZIGO,NAZIGO,11220506,3190,3224.0,98.9,6414.0,HF0309
Nkokonjeru HC III,HC III,Government,MOH,Functional,32.93904,0.82589,CENTRAL II,KAYUNGA,BBAALE,KITIMBWA,112104,BBALE COUNTY,KAYUNGA,BBAALE,KITIMBWA,NKOKONJERU,11210405,3343,3320.0,100.7,6663.0,HF0311
Wabwoko HC III,HC III,Government,MOH,Functional,32.8856,0.83163,CENTRAL II,KAYUNGA,BBAALE,KITIMBWA,112104,BBALE COUNTY,KAYUNGA,BBAALE,KITIMBWA,WABWOKO,11210407,2376,2593.0,91.6,4969.0,HF0312
Kyanamuyonjo HC III,HC III,Government,MOH,Functional,32.00053,0.75184,CENTRAL II,KIBOGA,KIBOGA,BUKOMERO,103101,KIBOGA EAST COUNTY,KIBOGA,KIBOGA,BUKOMERO,MATAAGI,10310104,1163,1013.0,114.8,2176.0,HF0315
Bukomero HC IV,HC IV,Government,MOH,Functional,32.03981,0.6907,CENTRAL II,KIBOGA,KIBOGA,BUKOMERO TOWN COUNCIL,103102,KIBOGA EAST COUNTY,KIBOGA,KIBOGA,BUKOMERO TOWN COUNCIL,KAKUNYU,10310201,3435,3605.0,95.3,7040.0,HF0316
Kiboga Katwe HC III GOVT,HC III,Government,MOH,Functional,32.03221,0.78844,CENTRAL II,KIBOGA,KIBOGA,DDWANIRO,103103,KIBOGA EAST COUNTY,KIBOGA,KIBOGA,DWANIRO,KALOKOLA,10310302,2285,2183.0,104.7,4468.0,HF0319
Kiboga Kambugu HC II GOVT,HC III,Government,MOH,Functional,31.78765,0.80583,CENTRAL II,KIBOGA,KIBOGA,KIBIGA,103105,KIBOGA EAST COUNTY,KIBOGA,KIBOGA,KIBIGA,NKANDWA,10310506,2567,2424.0,105.9,4991.0,HF0325
Kiboga HOSPITAL,General Hospital,Government,MOH,Functional,31.776151,0.913794,CENTRAL II,KIBOGA,KIBOGA,KIBOGA TOWN COUNCIL,103106,KIBOGA EAST COUNTY,KIBOGA,KIBOGA,KIBOGA TOWN COUNCIL,KIBOGA TOWN WARD,10310603,1811,1664.0,108.8,3475.0,HF0327
Lwamata HC III,HC III,Government,MOH,Functional,31.89569,0.83505,CENTRAL II,KIBOGA,KIBOGA,LWAMATA,103107,KIBOGA EAST COUNTY,KIBOGA,KIBOGA,LWAMATA,LWAMATA,10310706,3261,3627.0,89.9,6888.0,HF0334
