"District","HbAA_n_combined","HbAS_n_combined","HbSS_n_combined","Total_alleles_combined","S_alleles_combined","S_allele_freq_combined"
"Namutumba",321,85,3,818,91,0.11124694376528116
"Napak",183,19,0,404,19,0.04702970297029703
"Nebbi",739,159,12,1820,183,0.10054945054945057
"Ngora",244,62,3,618,68,0.11003236245954692
"Ntoroko",274,38,0,624,38,0.06089743589743589
"Ntungamo",1355,57,1,2826,59,0.02087756546355272
"Nwoya",493,131,8,1264,147,0.11629746835443038
"Omoro",75,24,1,200,26,0.13
"Otuke",420,101,10,1062,121,0.11393596986817324
"Oyam",858,211,13,2164,237,0.10951940850277264
"Pader",623,135,9,1534,153,0.0997392438070404
"Pakwach",82,16,0,196,16,0.08163265306122448
"Pallisa",344,67,1,824,69,0.08373786407766991
"Rakai",1951,364,8,4646,380,0.08179078777442962
"Rubanda",99,1,0,200,1,0.005
"Rubirizi",419,35,5,918,45,0.04901960784313725
"Rukiga",87,13,0,200,13,0.065
"Rukungiri",1242,49,0,2582,49,0.01897753679318357
"Sembabule",89,11,0,200,11,0.055
"Serere",447,93,11,1102,115,0.10435571687840292
"Sheema",956,45,1,2004,47,0.02345309381237524
"Sironko",312,32,6,700,44,0.06285714285714286
"Soroti",812,158,13,1966,184,0.0935910478128179
"Ssembabule",546,54,1,1202,56,0.04658901830282862
"Tororo",1138,279,21,2876,321,0.1116133518776078
"Wakiso",3843,551,19,8826,589,0.06673464763199638
"Yumbe",280,32,0,624,32,0.05128205128205128
"Zombo",360,48,1,818,50,0.06112469437652811
